2 tBodyAcc-mean()-Y-Training
3 tBodyAcc-mean()-Z-Training
4 tBodyAcc-std()-X-Training
5 tBodyAcc-std()-Y-Training
6 tBodyAcc-std()-Z-Training
41 tGravityAcc-mean()-X-Training
42 tGravityAcc-mean()-Y-Training
43 tGravityAcc-mean()-Z-Training
44 tGravityAcc-std()-X-Training
45 tGravityAcc-std()-Y-Training
46 tGravityAcc-std()-Z-Training
81 tBodyAccJerk-mean()-X-Training
82 tBodyAccJerk-mean()-Y-Training
83 tBodyAccJerk-mean()-Z-Training
84 tBodyAccJerk-std()-X-Training
85 tBodyAccJerk-std()-Y-Training
86 tBodyAccJerk-std()-Z-Training
121 tBodyGyro-mean()-X-Training
122 tBodyGyro-mean()-Y-Training
123 tBodyGyro-mean()-Z-Training
124 tBodyGyro-std()-X-Training
125 tBodyGyro-std()-Y-Training
126 tBodyGyro-std()-Z-Training
161 tBodyGyroJerk-mean()-X-Training
162 tBodyGyroJerk-mean()-Y-Training
163 tBodyGyroJerk-mean()-Z-Training
164 tBodyGyroJerk-std()-X-Training
165 tBodyGyroJerk-std()-Y-Training
166 tBodyGyroJerk-std()-Z-Training
201 tBodyAccMag-mean()-Training
202 tBodyAccMag-std()-Training
214 tGravityAccMag-mean()-Training
215 tGravityAccMag-std()-Training
227 tBodyAccJerkMag-mean()-Training
228 tBodyAccJerkMag-std()-Training
240 tBodyGyroMag-mean()-Training
241 tBodyGyroMag-std()-Training
253 tBodyGyroJerkMag-mean()-Training
254 tBodyGyroJerkMag-std()-Training
266 fBodyAcc-mean()-X-Training
267 fBodyAcc-mean()-Y-Training
268 fBodyAcc-mean()-Z-Training
269 fBodyAcc-std()-X-Training
270 fBodyAcc-std()-Y-Training
271 fBodyAcc-std()-Z-Training
345 fBodyAccJerk-mean()-X-Training
346 fBodyAccJerk-mean()-Y-Training
347 fBodyAccJerk-mean()-Z-Training
348 fBodyAccJerk-std()-X-Training
349 fBodyAccJerk-std()-Y-Training
350 fBodyAccJerk-std()-Z-Training
424 fBodyGyro-mean()-X-Training
425 fBodyGyro-mean()-Y-Training
426 fBodyGyro-mean()-Z-Training
427 fBodyGyro-std()-X-Training
428 fBodyGyro-std()-Y-Training
429 fBodyGyro-std()-Z-Training
452 fBodyGyro-meanFreq()-X-Training
453 fBodyGyro-meanFreq()-Y-Training
454 fBodyGyro-meanFreq()-Z-Training
503 fBodyAccMag-mean()-Training
504 fBodyAccMag-std()-Training
516 fBodyBodyAccJerkMag-mean()-Training
517 fBodyBodyAccJerkMag-std()-Training
529 fBodyBodyGyroMag-mean()-Training
530 fBodyBodyGyroMag-std()-Training
542 fBodyBodyGyroJerkMag-mean()-Training
543 fBodyBodyGyroJerkMag-std()-Training
